번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),위생업태명
308,제과점영업,07_22_01_P,3230000,3230000-104-2019-00487,2019-03-18,,01,영업/정상,01,영업,,,,,,17.20,138-960,서울특별시 송파구 문정동 634 가든파이브라이프 ,"서울특별시 송파구 충민로 66, 가든파이브라이프 엔씨백화점 영관 2층 (문정동)",05838,유천냉면 NC송파점,2024-03-14 13:27:30,U,2024-03-16 02:40:00.0,백화점,210986.460698452    ,441725.293491662    ,백화점
309,제과점영업,07_22_01_P,3230000,3230000-104-2022-00257,2022-09-01,,01,영업/정상,01,영업,,,,,,38.70,138-888,서울특별시 송파구 문정동 642-3 문정에스케이브이원지엘메트로시티 ,"서울특별시 송파구 법원로 128, 문정에스케이브이원지엘메트로시티 B동 1층 114호 (문정동)",05854,그라츠커피랩(문정점),2022-09-01 12:51:03,I,2022-09-03 00:22:26.0,커피숍,,,커피숍
310,제과점영업,07_22_01_P,3230000,3230000-104-2022-00259,2022-09-01,,01,영업/정상,01,영업,,,,,02  63002525,10.00,138-960,서울특별시 송파구 문정동 634 가든파이브라이프 ,"서울특별시 송파구 충민로 66, 현대시티 아울렛 지하1층 (문정동)",05838,참새정미소,2022-09-01 13:33:15,I,2022-09-03 00:22:26.0,기타 휴게음식점,210986.460698452    ,441725.293491662    ,기타 휴게음식점
311,제과점영업,07_22_01_P,3230000,3230000-104-2022-00328,2022-10-25,,01,영업/정상,01,영업,,,,,,43.22,138-825,서울특별시 송파구 문정동 30-7 ,"서울특별시 송파구 동남로4길 21-1, 2층 (문정동)",05804,Kiva(키바),2024-07-22 17:46:06,U,2024-07-24 02:40:00.0,커피숍,210976.070891386    ,442910.639940564    ,커피숍
312,제과점영업,07_22_01_P,3230000,3230000-104-2022-00295,2022-10-06,,01,영업/정상,01,영업,,,,,,63.95,138-888,서울특별시 송파구 문정동 642-3 문정에스케이브이원지엘메트로시티 ,"서울특별시 송파구 법원로 128, 문정에스케이브이원지엘메트로시티 B동 127호 (문정동)",05854,위켄드,2023-07-13 11:13:59,U,2023-07-15 02:40:00.0,커피숍,,,커피숍
313,제과점영업,07_22_01_P,3230000,3230000-104-2022-00294,2022-10-05,,01,영업/정상,01,영업,,,,,,59.22,138-825,서울특별시 송파구 문정동 30 ,"서울특별시 송파구 동남로4길 13, 1층 (문정동)",05804,커스텀커피 문정점,2022-10-17 17:26:18,U,2022-10-19 02:40:00.0,커피숍,210938.938647923    ,442986.680448912    ,커피숍
314,제과점영업,07_22_01_P,3230000,3230000-104-2022-00283,2022-09-23,,01,영업/정상,01,영업,,,,,,40.53,138-888,서울특별시 송파구 문정동 645 에이치비지니스파크 ,"서울특별시 송파구 법원로11길 25, 에이치비지니스파크 1층 A-102호 (문정동)",05836,라움 샌드위치raum sandwich,2022-09-23 11:11:22,I,2022-09-25 00:22:25.0,커피숍,,,커피숍
315,제과점영업,07_22_01_P,3230000,3230000-104-2022-00322,2022-10-21,,01,영업/정상,01,영업,,,,,,25.00,138-888,서울특별시 송파구 문정동 648 ,"서울특별시 송파구 정의로 37, 서울동부구치소 (문정동)",05857,따손카페,2022-10-21 11:38:38,I,2022-10-23 00:22:25.0,커피숍,210231.99764679     ,442207.174142076    ,커피숍
316,제과점영업,07_22_01_P,3230000,3230000-104-2020-00340,2020-11-02,,01,영업/정상,01,영업,,,,,,191.69,138-962,서울특별시 송파구 문정동 628 가든파이브툴 ,"서울특별시 송파구 충민로 10, 가든파이브툴 4층 4-S01호 (문정동)",05840,CAFE BETWEEN(카페 비트윈),2020-11-02 14:51:03,I,2020-11-04 00:23:09.0,커피숍,210480.282018702    ,441833.16323518     ,커피숍
317,제과점영업,07_22_01_P,3230000,3230000-104-2018-00354,2018-10-08,,01,영업/정상,01,영업,,,,,,3.30,138-960,서울특별시 송파구 문정동 634번지 가든파이브라이프 ,"서울특별시 송파구 충민로 66, 가든파이브라이프 지하1층 (문정동)",05838,서프독,2018-10-08 10:11:02,I,2018-10-10 02:37:20.0,기타 휴게음식점,210986.460698452    ,441725.293491662    ,기타 휴게음식점
318,제과점영업,07_22_01_P,3230000,3230000-104-2018-00363,2018-10-11,,01,영업/정상,01,영업,,,,,02  63318345,171.22,138-888,서울특별시 송파구 문정동 651-6 ,"서울특별시 송파구 법원로8길 13, 101,102,103,104호 (문정동)",05855,버거킹 문정역점,2023-06-07 16:52:57,U,2023-06-09 02:40:00.0,기타 휴게음식점,,,기타 휴게음식점
319,제과점영업,07_22_01_P,3230000,3230000-104-2021-00083,2021-03-18,,01,영업/정상,01,영업,,,,,,82.60,138-960,서울특별시 송파구 문정동 634 가든파이브라이프 ,"서울특별시 송파구 충민로 66, 가든파이브라이프 엔시백화점 패션관 6층 (문정동)",05838,무인상점24 엔씨송파점,2021-03-18 15:14:24,I,2021-03-20 00:22:59.0,커피숍,210986.460698452    ,441725.293491662    ,커피숍
320,제과점영업,07_22_01_P,3230000,3230000-104-2021-00096,2021-04-01,,01,영업/정상,01,영업,,,,,,76.00,138-823,서울특별시 송파구 문정동 1 문정래미안아파트 ,"서울특별시 송파구 문정로 83, 상가동 1층 129-1호 (문정동, 문정래미안아파트)",05794,디저트39 문정래미안점,2023-04-17 14:41:11,U,2023-04-19 02:40:00.0,커피숍,211453.050926808    ,443165.755655708    ,커피숍
321,제과점영업,07_22_01_P,3230000,3230000-104-2021-00117,2021-04-20,,01,영업/정상,01,영업,,,,,,16.50,138-888,서울특별시 송파구 문정동 642-3 문정에스케이브이원지엘메트로시티 ,"서울특별시 송파구 법원로 128, 문정에스케이브이원지엘메트로시티 1층 비-123호 (문정동)",05854,뚜껑라이스,2022-03-31 10:55:02,U,2022-04-02 02:40:00.0,기타 휴게음식점,,,기타 휴게음식점
322,제과점영업,07_22_01_P,3230000,3230000-104-2021-00059,2021-02-24,,01,영업/정상,01,영업,,,,,,18.20,138-960,서울특별시 송파구 문정동 634 가든파이브라이프 ,"서울특별시 송파구 충민로 66, 엔씨백화점 영관 2층 (문정동)",05838,탄탄면 공방,2021-02-24 16:17:27,I,2021-02-26 00:23:01.0,백화점,210986.460698452    ,441725.293491662    ,백화점
323,제과점영업,07_22_01_P,3230000,3230000-104-2022-00220,2022-08-01,,01,영업/정상,01,영업,,,,,,27.44,138-960,서울특별시 송파구 문정동 634 가든파이브라이프 ,"서울특별시 송파구 충민로 66, 현대시티아울렛 B1층 (문정동)",05838,벤티프레소 가든파이브점,2024-09-20 13:25:02,U,2024-09-22 02:40:00.0,커피숍,210986.460698452    ,441725.293491662    ,커피숍
324,제과점영업,07_22_01_P,3230000,3230000-104-2022-00226,2022-08-04,,01,영업/정상,01,영업,,,,,,17.00,138-825,서울특별시 송파구 문정동 29-17 COLLECTED 빌딩 ,"서울특별시 송파구 동남로 122, COLLECTED 빌딩 지하1호 (문정동)",05804,122ro,2022-08-04 09:26:46,I,2022-08-07 00:22:38.0,커피숍,210966.343901891    ,443144.52185314     ,커피숍
325,제과점영업,07_22_01_P,3230000,3230000-104-2022-00227,2022-08-04,,01,영업/정상,01,영업,,,,,,12.65,138-888,서울특별시 송파구 문정동 642 송파 테라타워2 ,"서울특별시 송파구 송파대로 201, 송파 테라타워2 B동 1층 147-2호 (문정동)",05854,하이미엘 법조단지점,2022-08-04 11:16:51,I,2022-08-07 00:22:38.0,커피숍,,,커피숍
326,제과점영업,07_22_01_P,3230000,3230000-104-2022-00190,2022-07-06,,01,영업/정상,01,영업,,,,,02  63002525,39.67,138-960,서울특별시 송파구 문정동 634 가든파이브라이프 ,"서울특별시 송파구 충민로 66, 가든파이브라이프(현대시티아울렛) 지하1층 (문정동)",05838,온복비빔국수,2022-07-06 09:19:39,I,2022-07-08 00:22:30.0,일반조리판매,210986.460698452    ,441725.293491662    ,일반조리판매
327,제과점영업,07_22_01_P,3230000,3230000-104-2025-00048,2025-02-17,,01,영업/정상,01,영업,,,,,,6.60,138-824,서울특별시 송파구 문정동 9-1 레미안빌딩 ,"서울특별시 송파구 송이로 194, 레미안빌딩 2층 (문정동)",05796,(주)엠에프랩,2025-02-17 17:50:23,I,2025-02-19 00:10:43.0,기타 휴게음식점,211190.834272855    ,443144.417683801    ,기타 휴게음식점
328,제과점영업,07_22_01_P,3230000,3230000-104-2022-00192,2022-07-06,,01,영업/정상,01,영업,,,,,,46.46,138-888,서울특별시 송파구 문정동 642 송파 테라타워2,"서울특별시 송파구 송파대로 201, 송파 테라타워2 A동 1층 109호 (문정동)",05854,노브랜드버거 문정역점,2025-04-08 15:10:16,U,2024-12-03 23:00:00.0,패스트푸드,,,패스트푸드
329,제과점영업,07_22_01_P,3230000,3230000-104-2022-00216,2022-07-28,,01,영업/정상,01,영업,,,,,,3.30,138-888,서울특별시 송파구 문정동 651-14 송파유탑테크밸리 ,"서울특별시 송파구 법원로6길 7, 송파유탑테크밸리 1층 103호 (문정동)",05855,씨유 문정유탑점,2022-07-28 13:49:12,I,2022-07-30 00:22:29.0,편의점,,,편의점
330,제과점영업,07_22_01_P,3230000,3230000-104-2021-00021,2021-01-26,,01,영업/정상,01,영업,,,,,,33.00,138-200,서울특별시 송파구 문정동 121-3 ,"서울특별시 송파구 송이로31길 4-11, 1층 1호 (문정동)",05798,달카롱,2021-01-26 15:28:38,I,2021-01-28 00:23:13.0,기타 휴게음식점,211645.648307903    ,442881.227697812    ,기타 휴게음식점
331,제과점영업,07_22_01_P,3230000,3230000-104-2021-00022,2021-01-26,,01,영업/정상,01,영업,,,,,,39.48,138-888,서울특별시 송파구 문정동 652 송파법조타운푸르지오 ,"서울특별시 송파구 법원로4길 5, 송파법조타운푸르지오 1층 105호 (문정동)",05855,샌드데이 문정점,2023-06-16 12:11:37,U,2023-06-18 02:40:00.0,커피숍,,,커피숍
332,제과점영업,07_22_01_P,3230000,3230000-104-2020-00384,2020-12-07,,01,영업/정상,01,영업,,,,,02  32848116,83.82,138-200,서울특별시 송파구 문정동 77-4 ,"서울특별시 송파구 새말로8길 15, 1층 (문정동)",05810,세븐일레븐 문정건영점,2024-02-08 16:56:09,U,2024-02-11 02:40:00.0,편의점,211146.521227039    ,442144.77517462     ,편의점
333,제과점영업,07_22_01_P,3230000,3230000-104-2018-00454,2018-12-17,,01,영업/정상,01,영업,,,,,,63.75,138-888,서울특별시 송파구 문정동 651 문정역테라타워 ,"서울특별시 송파구 송파대로 167, 문정역테라타워 에이동 지118호 (문정동)",05855,컴포즈커피 문정테라타워점,2025-02-24 11:10:49,U,2025-02-26 02:40:00.0,기타 휴게음식점,,,기타 휴게음식점
334,제과점영업,07_22_01_P,3230000,3230000-104-2018-00423,2018-11-21,,01,영업/정상,01,영업,,,,,,31.55,138-888,서울특별시 송파구 문정동 644-2번지 문정현대지식산업센터1-2 ,"서울특별시 송파구 법원로11길 7, 문정현대지식산업센터1-2 1층 144호 (문정동)",05836,월간커피,2018-11-21 15:42:46,I,2018-11-23 02:37:07.0,기타 휴게음식점,,,기타 휴게음식점
335,제과점영업,07_22_01_P,3230000,3230000-104-2018-00405,2018-11-12,,01,영업/정상,01,영업,,,,,,6.00,138-200,서울특별시 송파구 문정동 94-12번지 ,"서울특별시 송파구 송이로36길 52-10, 1층 (문정동)",05802,세븐일레븐 문정제일점,2018-11-12 12:40:56,I,2018-11-14 02:37:06.0,기타 휴게음식점,211285.6308483      ,442422.466040273    ,기타 휴게음식점
336,제과점영업,07_22_01_P,3230000,3230000-104-2018-00395,2018-11-06,,01,영업/정상,01,영업,,,,,,63.75,138-888,서울특별시 송파구 문정동 651 문정역테라타워 ,"서울특별시 송파구 송파대로 167, 문정역테라타워 A동 지하1층 G124호 (문정동)",05855,에그드랍 문정역점,2020-08-25 10:17:50,U,2020-08-27 02:40:00.0,기타 휴게음식점,,,기타 휴게음식점
337,제과점영업,07_22_01_P,3230000,3230000-104-2021-00004,2021-01-08,,01,영업/정상,01,영업,,,,,,31.85,138-888,서울특별시 송파구 문정동 620 송파 푸르지오시티 ,"서울특별시 송파구 새말로 62, 송파 푸르지오시티  1층 156호 (문정동)",05841,요거트맨 문정점,2022-05-23 10:17:12,U,2022-05-25 02:40:00.0,기타 휴게음식점,210654.50616628     ,442070.575741668    ,기타 휴게음식점
338,제과점영업,07_22_01_P,3230000,3230000-104-2018-00464,2018-12-28,,01,영업/정상,01,영업,,,,,,2.00,138-888,서울특별시 송파구 문정동 651번지 문정역테라타워 ,"서울특별시 송파구 송파대로 167, 문정역테라타워 A동 G133호 (문정동)",05855,GS25 문정테라타워점,2018-12-28 16:40:41,I,2018-12-30 02:20:33.0,기타 휴게음식점,,,기타 휴게음식점
339,제과점영업,07_22_01_P,3230000,3230000-104-2019-00004,2019-01-04,,01,영업/정상,01,영업,,,,,,3.30,138-825,서울특별시 송파구 문정동 28-7번지 리뉴힐 ,"서울특별시 송파구 동남로6길 3-10, 1층 101호 (문정동, 리뉴힐)",05804,아프로바이크(AFRO BIKE),2019-01-04 15:05:13,I,2019-01-06 02:20:39.0,기타 휴게음식점,210962.263447087    ,443088.559428294    ,기타 휴게음식점
340,제과점영업,07_22_01_P,3230000,3230000-104-2018-00413,2018-11-16,,01,영업/정상,01,영업,,,,,,3.30,138-888,서울특별시 송파구 문정동 642번지 송파 테라타워2 ,"서울특별시 송파구 송파대로 201, 송파 테라타워2 B동 139호 (문정동)",05854,씨유송파테라타워점,2018-11-16 10:41:25,I,2018-11-18 02:37:30.0,기타 휴게음식점,,,기타 휴게음식점
341,제과점영업,07_22_01_P,3230000,3230000-104-2023-00456,2023-12-08,,01,영업/정상,01,영업,,,,,,63.75,138-888,서울특별시 송파구 문정동 651 문정역테라타워 ,"서울특별시 송파구 송파대로 167, 문정역테라타워 A동 지하1층 G119호 (문정동)",05855,우지커피 문정테라타워점,2024-10-21 16:01:26,U,2024-10-23 02:40:00.0,커피숍,,,커피숍
342,제과점영업,07_22_01_P,3230000,3230000-104-2023-00475,2023-12-29,,01,영업/정상,01,영업,,,,,,16.00,138-960,서울특별시 송파구 문정동 634 가든파이브라이프 ,"서울특별시 송파구 충민로 66, 가든파이브라이프 지하1층 (문정동)",05838,요거티아,2023-12-29 09:20:27,I,2023-12-31 00:16:34.0,백화점,210986.460698452    ,441725.293491662    ,백화점
343,제과점영업,07_22_01_P,3230000,3230000-104-2023-00415,2023-10-27,,01,영업/정상,01,영업,,,,,,47.10,138-888,서울특별시 송파구 문정동 643-1 엠스테이트 ,"서울특별시 송파구 법원로 114, 엠스테이트 E동 지하1층 E-B170호 (문정동)",05854,푸릇푸릇,2023-10-27 13:02:45,I,2023-10-29 00:17:27.0,커피숍,,,커피숍
344,제과점영업,07_22_01_P,3230000,3230000-104-2022-00123,2022-05-19,,01,영업/정상,01,영업,,,,,,63.94,138-888,서울특별시 송파구 문정동 642-3 문정에스케이브이원지엘메트로시티 ,"서울특별시 송파구 법원로 128, 문정에스케이브이원지엘메트로시티 B동 1층 141호 (문정동)",05854,파란만잔 문정역점,2022-05-19 10:32:31,I,2022-05-21 00:22:47.0,커피숍,,,커피숍
345,제과점영업,07_22_01_P,3230000,3230000-104-2022-00156,2022-06-10,,01,영업/정상,01,영업,,,,,,30.85,138-200,서울특별시 송파구 문정동 78-21 ,"서울특별시 송파구 새말로10길 22, 1층 (문정동)",05810,선호커피 브루잉 바,2023-09-06 12:11:28,U,2023-09-08 02:40:00.0,커피숍,211206.334770167    ,442099.803840083    ,커피숍
346,제과점영업,07_22_01_P,3230000,3230000-104-2022-00129,2022-05-24,,01,영업/정상,01,영업,,,,,,40.17,138-888,서울특별시 송파구 문정동 639-5 힐스테이트에코송파 ,"서울특별시 송파구 정의로7길 13, 힐스테이트에코송파 1층 139호 (문정동)",05835,카페 유틸리티,2022-05-24 09:39:53,I,2022-05-26 00:22:31.0,커피숍,,,커피숍
347,제과점영업,07_22_01_P,3230000,3230000-104-2022-00105,2022-05-02,,01,영업/정상,01,영업,,,,,,62.19,138-888,서울특별시 송파구 문정동 644 문정현대지식산업센터1-1 ,"서울특별시 송파구 법원로11길 11, 문정현대지식산업센터1-1 A동 1층 105호 (문정동)",05836,더벤티 문정점,2022-05-02 12:08:45,I,2022-05-04 00:22:32.0,커피숍,,,커피숍
348,제과점영업,07_22_01_P,3230000,3230000-104-2022-00106,2022-05-02,,01,영업/정상,01,영업,,,,,,23.80,138-888,서울특별시 송파구 문정동 642-3 문정에스케이브이원지엘메트로시티 ,"서울특별시 송파구 법원로 128, 문정에스케이브이원지엘메트로시티 1층 C123호 (문정동)",05854,스윗미드나잇,2022-05-02 14:55:37,I,2022-05-04 00:22:32.0,커피숍,,,커피숍
349,제과점영업,07_22_01_P,3230000,3230000-104-2022-00158,2022-06-13,,01,영업/정상,01,영업,,,,,,30.00,138-825,서울특별시 송파구 문정동 36-12 ,"서울특별시 송파구 동남로6길 41, 1층 101호 (문정동)",05803,카페블리스프룻(cafe bliss fruit),2023-02-10 15:57:05,U,2023-02-12 02:40:00.0,커피숍,211028.220483716    ,442738.596388459    ,커피숍
