번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),위생업태명
350,제과점영업,07_22_01_P,3230000,3230000-104-2025-00004,2025-01-02,,01,영업/정상,01,영업,,,,,,62.32,138-961,서울특별시 송파구 문정동 632 가든파이브웍스 ,"서울특별시 송파구 충민로 52, 가든파이브웍스 지하1층 BF1085호 (문정동)",05839,아토키토 가든파이브점,2025-01-02 13:39:34,I,2025-01-04 00:11:21.0,기타 휴게음식점,210780.126180232    ,441730.920486073    ,기타 휴게음식점
351,제과점영업,07_22_01_P,3230000,3230000-104-2025-00032,2025-02-03,,01,영업/정상,01,영업,,,,,,48.00,138-888,서울특별시 송파구 문정동 642-3 문정역SKV1 ,"서울특별시 송파구 법원로 128, 문정역SKV1 B동 지하1층 G123호 (문정동)",05854,카페봄봄 문정SKV1점,2025-02-03 13:42:25,I,2025-02-05 00:10:55.0,커피숍,,,커피숍
352,제과점영업,07_22_01_P,3230000,3230000-104-2023-00447,2023-12-04,,01,영업/정상,01,영업,,,,,,51.19,138-888,서울특별시 송파구 문정동 642-3 문정역SKV1 ,"서울특별시 송파구 법원로 128, 문정역SKV1 A동 1층 108호 (문정동)",05854,하이오 문정SKV1점,2023-12-04 16:24:03,I,2023-12-06 00:17:03.0,커피숍,,,커피숍
353,제과점영업,07_22_01_P,3230000,3230000-104-2023-00380,2023-09-22,,01,영업/정상,01,영업,,,,,,40.65,138-888,서울특별시 송파구 문정동 645-2 에이치비지니스파크 ,"서울특별시 송파구 법원로9길 26, 에이치비지니스파크 C동 1층 101호 (문정동)",05836,텐퍼센트 커피 문정 H비즈니스파크점,2023-09-22 15:04:19,I,2023-09-24 00:17:57.0,커피숍,,,커피숍
354,제과점영업,07_22_01_P,3230000,3230000-104-2024-00497,2024-12-27,,01,영업/정상,01,영업,,,,,,16.58,138-885,서울특별시 송파구 문정동 150-8 송파청소년수련관,"서울특별시 송파구 중대로4길 4, 송파청소년수련관 1층 (문정동)",05834,한들카페,2025-04-30 15:29:26,U,2024-12-05 00:02:00.0,커피숍,209713.074698153,443045.795801244,커피숍
355,제과점영업,07_22_01_P,3230000,3230000-104-2023-00378,2023-09-20,,01,영업/정상,01,영업,,,,,,55.77,138-826,서울특별시 송파구 문정동 61-15 메리제인호텔 ,"서울특별시 송파구 송파대로20길 6, 지하2층 (문정동, 메리제인호텔)",05807,메리제인,2023-09-20 15:32:25,I,2023-09-22 00:18:14.0,커피숍,210857.025715606    ,442611.394350958    ,커피숍
356,제과점영업,07_22_01_P,3230000,3230000-104-2023-00372,2023-09-15,,01,영업/정상,01,영업,,,,,02  15778007,3.30,138-885,서울특별시 송파구 문정동 150-23 ,"서울특별시 송파구 중대로 60-6, 1층 (문정동)",05833,씨유 문정훼밀리점,2023-09-15 12:19:23,I,2023-09-17 00:18:04.0,편의점,210155.914767213    ,443232.861229646    ,편의점
357,제과점영업,07_22_01_P,3230000,3230000-104-2025-00034,2025-02-05,,01,영업/정상,01,영업,,,,,,23.60,138-885,서울특별시 송파구 문정동 150 올림픽훼밀리타운 ,"서울특별시 송파구 중대로 24, 제3동상가동 110호 (문정동, 올림픽훼밀리타운)",05834,달코미 올림픽훼밀리점,2025-02-28 10:28:52,U,2025-03-02 02:40:00.0,기타 휴게음식점,210045.748264305    ,442930.687284628    ,기타 휴게음식점
358,제과점영업,07_22_01_P,3230000,3230000-104-2024-00472,2024-12-06,,01,영업/정상,01,영업,,,,,,57.28,138-826,서울특별시 송파구 문정동 52-3 ,"서울특별시 송파구 동남로2길 26, 1층 (문정동)",05806,샐러리아 문정역점,2024-12-06 17:14:30,I,2024-12-08 00:11:52.0,기타 휴게음식점,210813.696896511    ,442761.865393294    ,기타 휴게음식점
359,제과점영업,07_22_01_P,3230000,3230000-104-2025-00021,2025-01-15,,01,영업/정상,01,영업,,,,,,5.00,138-200,서울특별시 송파구 문정동 136 ,"서울특별시 송파구 송이로31길 20, 상가동 지하2층 B03,B04호 (문정동)",05798,주식회사 지엠디연구소 CU이편한문정점,2025-01-15 17:27:36,I,2025-01-18 01:12:01.0,편의점,211717.256282953    ,443032.318861029    ,편의점
360,제과점영업,07_22_01_P,3230000,3230000-104-2025-00039,2025-02-11,,01,영업/정상,01,영업,,,,,,3.30,138-888,서울특별시 송파구 문정동 651 문정역테라타워 ,"서울특별시 송파구 송파대로 167, 문정역테라타워 A동 110호,111호 (문정동)",05855,씨유 문정테라타워점,2025-02-11 10:52:56,I,2025-02-13 00:10:48.0,편의점,,,편의점
361,제과점영업,07_22_01_P,3230000,3230000-104-2024-00476,2024-12-11,,01,영업/정상,01,영업,,,,,,254.00,138-888,서울특별시 송파구 문정동 651-8 NH송파농협 ,"서울특별시 송파구 송파대로 155, 1층 (문정동)",05855,투썸플레이스 문정법조타운점,2024-12-11 10:14:29,I,2024-12-13 00:12:11.0,커피숍,,,커피숍
362,제과점영업,07_22_01_P,3230000,3230000-104-2025-00022,2025-01-16,,01,영업/정상,01,영업,,,,,,,138-960,서울특별시 송파구 문정동 634 가든파이브라이프 ,"서울특별시 송파구 충민로 66, 가든파이브 테크노관 식품행사장 지하1층 (문정동)",05838,주바른,2025-01-16 09:37:01,I,2025-01-18 00:11:10.0,기타 휴게음식점,210986.460698452    ,441725.293491662    ,기타 휴게음식점
363,제과점영업,07_22_01_P,3230000,3230000-104-2024-00447,2024-11-25,,01,영업/정상,01,영업,,,,,,55.14,138-823,서울특별시 송파구 문정동 1 문정래미안아파트 ,"서울특별시 송파구 문정로 83, 상가동 131호 (문정동, 문정래미안아파트)",05794,까페 올어라운드,2024-11-25 12:11:47,I,2024-11-27 00:12:13.0,커피숍,211453.050926808    ,443165.755655708    ,커피숍
364,제과점영업,07_22_01_P,3230000,3230000-104-2025-00014,2025-01-13,,01,영업/정상,01,영업,,,,,,327.27,138-825,서울특별시 송파구 문정동 39-1 ,"서울특별시 송파구 문정로 19, 1층 100호 (문정동)",05806,더브레드 레지던스,2025-01-13 11:54:11,I,2025-01-15 00:11:12.0,기타 휴게음식점,210951.442461399    ,442706.682960145    ,기타 휴게음식점
365,제과점영업,07_22_01_P,3230000,3230000-104-2025-00015,2025-01-13,,01,영업/정상,01,영업,,,,,,24.47,138-888,서울특별시 송파구 문정동 652-3 르피에드 문정 ,"서울특별시 송파구 송파대로 141, 르피에드 문정 1층 113호 (문정동)",05855,10%텐퍼센트,2025-01-13 11:56:51,I,2025-01-15 00:11:12.0,기타 휴게음식점,,,기타 휴게음식점
366,제과점영업,07_22_01_P,3230000,3230000-104-2025-00141,2025-04-15,,01,영업/정상,01,영업,,,,,,27.40,138-200,서울특별시 송파구 문정동 76-2,"서울특별시 송파구 새말로8길 25, 1층 102호 (문정동)",05810,더 착한김밥,2025-04-15 16:12:07,I,2024-12-03 23:07:00.0,기타 휴게음식점,211162.007627093,442033.492856368,기타 휴게음식점
367,제과점영업,07_22_01_P,3230000,3230000-104-2025-00434,2025-11-24,,01,영업/정상,01,영업,,,,,,19.50,138-960,서울특별시 송파구 문정동 634 가든파이브라이프,"서울특별시 송파구 충민로 66, NC백화점 영관 2층 (문정동)",05838,하루포케 NC백화점 송파점,2025-11-24 09:36:48,I,2024-10-31 22:06:00.0,기타 휴게음식점,210986.460698452,441725.293491662,기타 휴게음식점
368,제과점영업,07_22_01_P,3230000,3230000-104-2023-00478,2023-01-06,,01,영업/정상,01,영업,,,,,,32.89,138-888,서울특별시 송파구 문정동 644-2 문정현대지식산업센터1-2,"서울특별시 송파구 법원로11길 7, 문정현대지식산업센터1-2 제1층 157호 (문정동)",05836,포틀로 베이커리(PORTLOE BAKERY),2025-08-25 14:13:43,I,2024-12-07 22:07:00.0,커피숍,,,커피숍
369,제과점영업,07_22_01_P,3230000,3230000-104-2025-00078,2025-03-10,,01,영업/정상,01,영업,,,,,,49.36,138-888,서울특별시 송파구 문정동 643-1 엠스테이트,"서울특별시 송파구 법원로 114, 엠스테이트 제이동 제지1층 제이비 179호 (문정동)",05854,Jackson Baffle,2025-03-19 14:04:37,U,2024-12-02 22:01:00.0,커피숍,,,커피숍
370,제과점영업,07_22_01_P,3230000,3230000-104-2025-00089,2025-03-14,,01,영업/정상,01,영업,,,,,,104.00,138-200,서울특별시 송파구 문정동 89-10,"서울특별시 송파구 문정로4길 29, 1층 (문정동)",05809,펠어커피초코 문정점,2025-03-14 09:42:32,I,2024-12-02 23:06:00.0,커피숍,211120.631776592,442398.657540067,커피숍
371,제과점영업,07_22_01_P,3230000,3230000-104-2023-00173,2023-04-28,,01,영업/정상,01,영업,,,,,,6.60,138-960,서울특별시 송파구 문정동 634 가든파이브라이프,"서울특별시 송파구 충민로 66, 가든파이브라이프 지하1층 TB1091호 (문정동)",05838,스위트젠,2025-03-14 10:40:12,U,2024-12-02 23:06:00.0,백화점,210986.460698452,441725.293491662,백화점
372,제과점영업,07_22_01_P,3230000,3230000-104-2025-00263,2025-07-25,,01,영업/정상,01,영업,,,,,,16.00,138-888,서울특별시 송파구 문정동 652-5 문정 아이파크,"서울특별시 송파구 법원로4길 6, 문정 아이파크 322호 (문정동)",05855,안녕 퍼피,2025-07-25 10:00:23,I,2024-12-06 22:07:00.0,커피숍,,,커피숍
373,제과점영업,07_22_01_P,3230000,3230000-104-2024-00051,2024-02-19,,01,영업/정상,01,영업,,,,,,63.75,138-888,서울특별시 송파구 문정동 651 문정역테라타워,"서울특별시 송파구 송파대로 167, 문정역테라타워 지하1층 G114호 (문정동)",05855,메가엠지씨커피 문정법조타운점,2025-06-02 15:50:23,U,2024-12-06 00:04:00.0,커피숍,,,커피숍
374,제과점영업,07_22_01_P,3230000,3230000-104-2025-00094,2025-03-18,,01,영업/정상,01,영업,,,,,,33.00,138-825,서울특별시 송파구 문정동 29-1,"서울특별시 송파구 동남로6길 10, 1층 (문정동)",05804,유캔두잇 가락문정점,2025-03-18 13:48:34,I,2024-12-02 22:00:00.0,커피숍,210930.581315713,443026.961943812,커피숍
375,제과점영업,07_22_01_P,3230000,3230000-104-2025-00216,2025-06-13,,01,영업/정상,01,영업,,,,,,31.02,138-888,서울특별시 송파구 문정동 643-1 엠스테이트,"서울특별시 송파구 법원로 114, 엠스테이트 E동 지하1층 B133호 일부호 (문정동)",05854,라라커피,2025-06-13 16:20:49,I,2024-12-05 23:05:00.0,커피숍,,,커피숍
376,제과점영업,07_22_01_P,3230000,3230000-104-2025-00204,2025-06-05,,01,영업/정상,01,영업,,,,,,3.30,138-826,서울특별시 송파구 문정동 56 문정동 헤브론 복합빌딩,"서울특별시 송파구 송파대로20길 4, 문정동 헤브론 복합빌딩 1층 104호 (문정동)",05807,이마트24 R 문정역점,2025-06-05 16:41:13,I,2024-12-06 00:09:00.0,편의점,210826.326098989,442609.958084604,편의점
377,제과점영업,07_22_01_P,3230000,3230000-104-2025-00161,2025-05-01,,01,영업/정상,01,영업,,,,,,15.50,138-960,서울특별시 송파구 문정동 634 가든파이브라이프,"서울특별시 송파구 충민로 66, NC백화점 영관 2층 (문정동)",05838,앤티앤스프레즐 NC송파점,2025-05-01 11:04:19,I,2024-12-05 00:03:00.0,기타 휴게음식점,210986.460698452,441725.293491662,기타 휴게음식점
378,제과점영업,07_22_01_P,3230000,3230000-104-2025-00103,2025-03-26,,01,영업/정상,01,영업,,,,,,9.92,138-960,서울특별시 송파구 문정동 634 가든파이브라이프,"서울특별시 송파구 충민로 66, 현대아울렛 가든파이브점 지하1층 (문정동)",05838,르비밀크,2025-03-26 15:26:44,I,2024-12-02 22:08:00.0,일반조리판매,210986.460698452,441725.293491662,일반조리판매
379,제과점영업,07_22_01_P,3230000,3230000-104-2019-00232,2019-06-21,,01,영업/정상,01,영업,,,,,02  20067714,30.10,138-885,서울특별시 송파구 문정동 150-2 문정프라자,"서울특별시 송파구 중대로 80, 문정프라자 지하2층 (문정동)",05833,밀솔루션,2025-12-22 15:32:15,U,2024-11-01 22:04:00.0,기타 휴게음식점,210343.699256005,443288.284974717,기타 휴게음식점
380,제과점영업,07_22_01_P,3230000,3230000-104-2025-00206,2025-06-09,,01,영업/정상,01,영업,,,,,,16.49,138-888,서울특별시 송파구 문정동 652-5 문정 아이파크,"서울특별시 송파구 법원로4길 6, 문정 아이파크 1층 101-4호 (문정동)",05855,담비,2025-06-09 17:42:26,I,2024-12-05 23:02:00.0,커피숍,,,커피숍
381,제과점영업,07_22_01_P,3230000,3230000-104-2025-00110,2025-03-28,,01,영업/정상,01,영업,,,,,,3.30,138-885,서울특별시 송파구 문정동 150 올림픽훼밀리타운,"서울특별시 송파구 중대로 24, 상가3동 1층 105,106호 (문정동, 올림픽훼밀리타운)",05834,세븐일레븐 송파호돌이점,2025-03-28 13:36:41,I,2024-12-02 21:00:00.0,편의점,210045.748264305,442930.687284628,편의점
382,제과점영업,07_22_01_P,3230000,3230000-104-2025-00257,2025-07-18,,01,영업/정상,01,영업,,,,,,19.68,138-888,서울특별시 송파구 문정동 652-5 문정 아이파크,"서울특별시 송파구 법원로4길 6, 문정 아이파크 1층 135호 (문정동)",05855,이에프 커피(EF COFFEE),2025-07-18 14:51:08,I,2024-12-06 22:00:00.0,커피숍,,,커피숍
383,제과점영업,07_22_01_P,3230000,3230000-104-2025-00307,2025-08-28,,01,영업/정상,01,영업,,,,,,31.98,138-888,서울특별시 송파구 문정동 651-11 문정역2차 SK V1,"서울특별시 송파구 법원로8길 8, 문정역2차 SK V1 1층 120호 (문정동)",05855,더벤티 문정법조타운점,2025-08-28 09:27:08,I,2024-12-07 21:00:00.0,커피숍,,,커피숍
384,제과점영업,07_22_01_P,3230000,3230000-104-2025-00112,2025-03-31,,01,영업/정상,01,영업,,,,,,20.00,138-200,서울특별시 송파구 문정동 83-4,"서울특별시 송파구 새말로6길 15, 1층 102호 (문정동)",05810,스윗모노(sweetmono),2025-03-31 11:44:39,I,2024-12-04 00:02:00.0,커피숍,211163.833578828,442229.16953489,커피숍
385,제과점영업,07_22_01_P,3230000,3230000-104-2025-00165,2025-05-07,,01,영업/정상,01,영업,,,,,,97.75,138-888,서울특별시 송파구 문정동 640-10 비케이타워,"서울특별시 송파구 법원로11길 28, 비케이타워 1층 (문정동)",05836,메가엠지씨커피 문정BK타워점,2025-05-07 10:39:22,I,2024-12-05 00:09:00.0,커피숍,,,커피숍
386,제과점영업,07_22_01_P,3230000,3230000-104-2014-00121,2014-06-20,,01,영업/정상,01,영업,,,,,,15.00,138-825,서울특별시 송파구 문정동 44-8,"서울특별시 송파구 동남로2길 7, 1층 102호 (문정동)",05805,심고재(深考齋),2025-06-16 16:06:14,U,2024-12-05 23:08:00.0,커피숍,210767.377030453,442933.568644828,커피숍
387,제과점영업,07_22_01_P,3230000,3230000-104-2025-00217,2025-06-16,,01,영업/정상,01,영업,,,,,,38.00,138-824,서울특별시 송파구 문정동 9-9 수로빌딩,"서울특별시 송파구 송이로 198-1, 수로빌딩 1층 101호 (문정동)",05796,피자스쿨 문정점,2025-06-16 17:32:08,I,2024-12-05 23:08:00.0,패스트푸드,211236.439970694,443109.306662231,패스트푸드
388,제과점영업,07_22_01_P,3230000,3230000-104-2025-00218,2025-06-17,,01,영업/정상,01,영업,,,,,,34.03,138-888,서울특별시 송파구 문정동 645 에이치비지니스파크,"서울특별시 송파구 법원로11길 25, 에이치비지니스파크 1층 B-111호 (문정동)",05836,진스브레드,2025-06-17 09:22:55,I,2024-12-05 23:09:00.0,커피숍,,,커피숍
389,제과점영업,07_22_01_P,3230000,3230000-104-2019-00126,2019-04-12,,01,영업/정상,01,영업,,,,,031 376 0350,7.50,138-885,서울특별시 송파구 문정동 150-2 문정프라자,"서울특별시 송파구 중대로 80, 롯데마트 송파점 지하2층 (문정동)",05833,신돈야시장(송파점),2025-06-17 14:32:25,U,2024-12-05 23:09:00.0,기타 휴게음식점,210343.699256005,443288.284974717,기타 휴게음식점
390,제과점영업,07_22_01_P,3230000,3230000-104-2025-00267,2025-07-28,,01,영업/정상,01,영업,,,,,,3.30,138-888,서울특별시 송파구 문정동 618 파크하비오,"서울특별시 송파구 송파대로 111, 하비오길동 송파대로202동 1층 145,146호 (문정동, 파크하비오)",05837,씨유 송파하비오3호점,2025-07-28 16:34:01,I,2024-12-06 21:00:00.0,편의점,210868.397496689,442053.227933005,편의점
391,제과점영업,07_22_01_P,3230000,3230000-104-2025-00321,2025-09-08,,01,영업/정상,01,영업,,,,,,88.93,138-960,서울특별시 송파구 문정동 634 가든파이브라이프,"서울특별시 송파구 충민로 66, 가든파이브라이프 패션관 7층 (문정동)",05838,루비라운지(RUBY LOUNGE),2025-09-08 13:56:58,I,2024-12-08 23:00:00.0,커피숍,210986.460698452,441725.293491662,커피숍
392,제과점영업,07_22_01_P,3230000,3230000-104-2025-00443,2025-11-28,,01,영업/정상,01,영업,,,,,,29.75,138-200,서울특별시 송파구 문정동 88-7,"서울특별시 송파구 새말로11길 5, 105호 (문정동)",05809,샌드앤빈 Sand&bean,2025-11-28 17:50:19,I,2024-10-31 21:00:00.0,커피숍,211182.7,442385.99,커피숍
393,제과점영업,07_22_01_P,3230000,3230000-104-2020-00117,2020-04-10,,01,영업/정상,01,영업,,,,,,46.14,138-200,서울특별시 송파구 문정동 106-14,"서울특별시 송파구 새말로15길 22, 1층 (문정동)",05801,스톤밀,2025-09-08 17:15:55,U,2024-12-08 23:00:00.0,기타 휴게음식점,211362.634212487,442669.966858049,기타 휴게음식점
394,제과점영업,07_22_01_P,3230000,3230000-104-2025-00385,2025-10-20,,01,영업/정상,01,영업,,,,,,76.03,138-200,서울특별시 송파구 문정동 77,"서울특별시 송파구 새말로8길 21-1, 1층 (문정동)",05810,컴포즈커피 문정이엠365점,2025-10-20 12:22:59,I,2024-10-30 22:03:00.0,커피숍,211153.648634441,442080.373789223,커피숍
395,제과점영업,07_22_01_P,3230000,3230000-104-2025-00322,2025-09-10,,01,영업/정상,01,영업,,,,,,79.67,138-960,서울특별시 송파구 문정동 634 가든파이브라이프,"서울특별시 송파구 충민로 66, 현대시티몰 가든파이브점 1층 (문정동)",05838,커피디엔에이 송파,2025-09-10 12:04:29,I,2024-12-08 23:02:00.0,커피숍,210986.460698452,441725.293491662,커피숍
396,제과점영업,07_22_01_P,3230000,3230000-104-2025-00325,2025-09-11,,01,영업/정상,01,영업,,,,,,7.00,138-885,서울특별시 송파구 문정동 150-2 문정프라자,"서울특별시 송파구 중대로 80, 지하2층 (문정동)",05833,(주)은하수산,2025-09-11 13:33:33,I,2024-12-08 23:03:00.0,기타 휴게음식점,210343.699256005,443288.284974717,기타 휴게음식점
397,제과점영업,07_22_01_P,3230000,3230000-104-2025-00388,2025-10-23,,01,영업/정상,01,영업,,,,,,86.67,138-888,서울특별시 송파구 문정동 651 문정역테라타워,"서울특별시 송파구 송파대로 167, 문정역테라타워 제에이동 지하1층 지146호 (문정동)",05855,한성칼국수,2025-10-23 11:17:10,I,2024-10-30 22:06:00.0,일반조리판매,,,일반조리판매
398,제과점영업,07_22_01_P,3230000,3230000-104-2024-00285,2024-08-07,,01,영업/정상,01,영업,,,,,,199.13,138-200,서울특별시 송파구 문정동 72-1 해승빌딩,"서울특별시 송파구 새말로 100, 해승빌딩 2층 (문정동)",05817,제이엠티(JMT)PC2,2025-10-30 14:33:21,U,2024-11-01 00:01:00.0,기타 휴게음식점,210990.849933904,442265.126224845,기타 휴게음식점
399,제과점영업,07_22_01_P,3230000,3230000-104-2025-00469,2025-12-15,,01,영업/정상,01,영업,,,,,,28.76,138-200,서울특별시 송파구 문정동 88-9 다온빌,"서울특별시 송파구 송이로36길 62, 1층 102호 (문정동, 다온빌)",05809,프렌즈,2025-12-15 10:05:26,I,2024-11-01 23:07:00.0,기타 휴게음식점,211167.46364349,442371.481194861,기타 휴게음식점
400,제과점영업,07_22_01_P,3230000,3230000-104-2019-00319,2019-08-19,,01,영업/정상,01,영업,,,,,02  20067708,43.00,138-885,서울특별시 송파구 문정동 150-2 문정프라자,"서울특별시 송파구 중대로 80, 롯데마트 지하2층 (문정동)",05833,롯데마트 송파점,2025-12-22 15:35:46,U,2024-11-01 22:04:00.0,기타 휴게음식점,210343.699256005,443288.284974717,기타 휴게음식점
401,제과점영업,07_22_01_P,3230000,3230000-104-2025-00050,2025-02-18,,01,영업/정상,01,영업,,,,,,39.99,138-888,서울특별시 송파구 문정동 651-15 파트너스2,"서울특별시 송파구 법원로 90, 파트너스2 1층 108호 (문정동)",05855,포트캔 커피(문정점),2025-12-23 12:50:41,U,2024-11-01 22:05:00.0,커피숍,,,커피숍
402,제과점영업,07_22_01_P,3230000,3230000-104-2022-00038,2022-02-25,,01,영업/정상,01,영업,,,,,,49.00,138-888,서울특별시 송파구 문정동 643-1 엠스테이트,"서울특별시 송파구 법원로 114, 엠스테이트 E동 B167호 (문정동)",05854,뱃살도둑 문정점,2025-12-29 14:08:16,U,2024-11-01 21:01:00.0,일반조리판매,,,일반조리판매
403,제과점영업,07_22_01_P,3230000,3230000-104-2026-00004,2026-01-07,,01,영업/정상,01,영업,,,,,,5.94,138-888,서울특별시 송파구 문정동 652-4 힐스테이트에코문정,"서울특별시 송파구 법원로4길 10, 힐스테이트에코문정 제지1층 제비118호 (문정동)",05855,피씨팝 문정점,2026-01-07 15:38:19,I,2025-12-01 00:09:00.0,기타 휴게음식점,,,기타 휴게음식점
404,제과점영업,07_22_01_P,3230000,3230000-104-2026-00008,2026-01-12,,01,영업/정상,01,영업,,,,,,56.58,138-888,서울특별시 송파구 문정동 651 문정역테라타워,"서울특별시 송파구 송파대로 167, 문정역테라타워 B동 1층 153호 (문정동)",05855,씨드커피 SEED COFFEE,2026-01-12 10:34:16,I,2025-11-30 23:04:00.0,커피숍,,,커피숍
405,제과점영업,07_22_01_P,3230000,3230000-104-2026-00010,2026-01-14,,01,영업/정상,01,영업,,,,,,38.12,138-888,서울특별시 송파구 문정동 645 에이치비지니스파크,"서울특별시 송파구 법원로11길 25, 에이치비지니스파크 B동 1층 112호 (문정동)",05836,웰리스쇼룸,2026-01-14 13:36:15,I,2025-11-30 23:06:00.0,커피숍,,,커피숍
406,제과점영업,07_22_01_P,3230000,3230000-104-2026-00025,2026-01-26,,01,영업/정상,01,영업,,,,,,47.38,138-888,서울특별시 송파구 문정동 651 문정역테라타워,"서울특별시 송파구 송파대로 167, 문정역테라타워 에이동 1층 104호 (문정동)",05855,소풍가는 날 문정법조단지점,2026-01-26 12:57:08,I,2025-11-30 22:08:00.0,기타 휴게음식점,,,기타 휴게음식점
407,제과점영업,07_22_01_P,3230000,3230000-104-2022-00360,2022-11-17,,01,영업/정상,01,영업,,,,,,3.30,138-200,서울특별시 송파구 문정동 106-8 형정빌딩,"서울특별시 송파구 송이로30길 19, 1층 101호 (문정동, 형정빌딩)",05801,씨유 문정점,2026-01-28 17:15:39,U,2025-11-30 21:00:00.0,편의점,211418.991100604,442722.574606283,편의점
408,제과점영업,07_22_01_P,3230000,3230000-104-2026-00046,2026-02-09,,01,영업/정상,01,영업,,,,,,48.23,138-888,서울특별시 송파구 문정동 651 문정역테라타워,"서울특별시 송파구 송파대로 167, 문정역테라타워 A동 102호 (문정동)",05855,엠. 마음(m.maum),2026-02-09 10:54:45,I,2025-12-01 23:01:00.0,커피숍,,,커피숍
409,제과점영업,07_22_01_P,3230000,3230000-104-2026-00075,2026-03-03,,01,영업/정상,01,영업,,,,,,,138-960,서울특별시 송파구 문정동 634 가든파이브라이프,"서울특별시 송파구 충민로 66, 가든파이브라이프 현대아울렛 지하1층 (문정동)",05838,점퍼스에프앤비,2026-03-03 09:30:51,I,2025-12-03 00:05:00.0,기타 휴게음식점,210986.460698452,441725.293491662,기타 휴게음식점
410,제과점영업,07_22_01_P,3230000,3230000-104-2026-00081,2026-03-04,,01,영업/정상,01,영업,,,,,,37.20,138-888,서울특별시 송파구 문정동 642 송파 테라타워2,"서울특별시 송파구 송파대로 201, 송파 테라타워2 A동 1층 A-129호 (문정동)",05854,몬스터 커피,2026-03-04 11:57:24,I,2025-12-03 00:06:00.0,커피숍,,,커피숍
411,제과점영업,07_22_01_P,3230000,3230000-104-2026-00084,2026-03-05,,01,영업/정상,01,영업,,,,,,,138-960,서울특별시 송파구 문정동 634 가든파이브라이프,"서울특별시 송파구 충민로 66, 가든파이브라이프 NC백화점 1층 (문정동)",05838,소복소복,2026-03-05 14:41:56,I,2025-12-03 00:07:00.0,기타 휴게음식점,210986.460698452,441725.293491662,기타 휴게음식점
412,제과점영업,07_22_01_P,3230000,3230000-104-2026-00083,2026-03-05,,01,영업/정상,01,영업,,,,,,14.94,138-888,서울특별시 송파구 문정동 652-5 문정 아이파크,"서울특별시 송파구 법원로4길 6, 문정 아이파크 1층 101-1호 (문정동)",05855,앨리스 베이크샵,2026-03-05 10:59:03,I,2025-12-03 00:07:00.0,커피숍,,,커피숍
413,제과점영업,07_22_01_P,3230000,3230000-104-2026-00093,2026-03-10,,01,영업/정상,01,영업,,,,,,40.75,138-888,서울특별시 송파구 문정동 652-5 문정 아이파크,"서울특별시 송파구 법원로4길 6, 문정 아이파크 1동 1층 121호 (문정동)",05855,텍사스파파크레페 문정점,2026-03-10 14:50:42,I,2025-12-02 23:02:00.0,일반조리판매,,,일반조리판매
